cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,Governor,9/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,4,Expert ratings adjusted for national environment,-40.83965,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,3,Fundamentals (non-polling factors),-41.37766,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,2,CANTOR (analysis of comparable disticts),-37.67937,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WI-G1,Tony Evers,Tim Michels,4,Expert ratings adjusted for national environment,.1502501,0,0,3.960615,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WI-G1,Tony Evers,Tim Michels,3,Fundamentals (non-polling factors),14.63445,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WI-G1,Tony Evers,Tim Michels,2,CANTOR (analysis of comparable disticts),12.58114,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,WI-G1,Tony Evers,Tim Michels,1,Polls adjusted for house effects & other factors,2.980095,6.501905,6.501905,6.501905,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,VT-G1,Brenda Siegel,Phil Scott,4,Expert ratings adjusted for national environment,-30.9205,0,0,1.68552,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,VT-G1,Brenda Siegel,Phil Scott,3,Fundamentals (non-polling factors),-10.48464,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,VT-G1,Brenda Siegel,Phil Scott,2,CANTOR (analysis of comparable disticts),-.2721639,.0596064,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,VT-G1,Brenda Siegel,Phil Scott,1,Polls adjusted for house effects & other factors,-46.8858,1.940394,1.940394,1.940394,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TX-G1,Beto O'Rourke,Greg Abbott,4,Expert ratings adjusted for national environment,-16.06407,0,0,2.749118,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TX-G1,Beto O'Rourke,Greg Abbott,3,Fundamentals (non-polling factors),-11.2646,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TX-G1,Beto O'Rourke,Greg Abbott,2,CANTOR (analysis of comparable disticts),-12.90756,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TX-G1,Beto O'Rourke,Greg Abbott,1,Polls adjusted for house effects & other factors,-6.686974,4.072883,4.072883,4.072883,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TN-G1,Jason Brantley Martin,Bill Lee,4,Expert ratings adjusted for national environment,-26.35253,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TN-G1,Jason Brantley Martin,Bill Lee,3,Fundamentals (non-polling factors),-25.66439,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TN-G1,Jason Brantley Martin,Bill Lee,2,CANTOR (analysis of comparable disticts),-27.93072,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,TN-G1,Jason Brantley Martin,Bill Lee,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SD-G1,Jamie Smith,Kristi Noem,4,Expert ratings adjusted for national environment,-25.87824,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SD-G1,Jamie Smith,Kristi Noem,3,Fundamentals (non-polling factors),-24.88171,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SD-G1,Jamie Smith,Kristi Noem,2,CANTOR (analysis of comparable disticts),-29.10245,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SD-G1,Jamie Smith,Kristi Noem,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SC-G1,Joe Cunningham,Henry McMaster,4,Expert ratings adjusted for national environment,-24.36216,0,0,2.458977,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SC-G1,Joe Cunningham,Henry McMaster,3,Fundamentals (non-polling factors),-14.82285,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SC-G1,Joe Cunningham,Henry McMaster,2,CANTOR (analysis of comparable disticts),-13.68025,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,SC-G1,Joe Cunningham,Henry McMaster,1,Polls adjusted for house effects & other factors,-7.394169,3.491157,3.491157,3.491157,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,RI-G1,Daniel J. McKee,Ashley Kalus,4,Expert ratings adjusted for national environment,19.04873,0,0,1.135913,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,RI-G1,Daniel J. McKee,Ashley Kalus,3,Fundamentals (non-polling factors),14.15463,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,RI-G1,Daniel J. McKee,Ashley Kalus,2,CANTOR (analysis of comparable disticts),8.877715,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,RI-G1,Daniel J. McKee,Ashley Kalus,1,Polls adjusted for house effects & other factors,22.68837,.8384443,.8384443,.8384443,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,PA-G1,Josh Shapiro,Douglas V. Mastriano,4,Expert ratings adjusted for national environment,6.087348,0,0,4.628662,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,PA-G1,Josh Shapiro,Douglas V. Mastriano,3,Fundamentals (non-polling factors),12.1669,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,PA-G1,Josh Shapiro,Douglas V. Mastriano,2,CANTOR (analysis of comparable disticts),3.055631,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,PA-G1,Josh Shapiro,Douglas V. Mastriano,1,Polls adjusted for house effects & other factors,9.761742,7.841323,7.841323,7.841323,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OR-G1,Tina Kotek,Christine Drazan,4,Expert ratings adjusted for national environment,1.609446,0,0,1.65187,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OR-G1,Tina Kotek,Christine Drazan,3,Fundamentals (non-polling factors),5.319333,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OR-G1,Tina Kotek,Christine Drazan,2,CANTOR (analysis of comparable disticts),4.372212,.1270751,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OR-G1,Tina Kotek,Christine Drazan,1,Polls adjusted for house effects & other factors,3.730844,1.872925,1.872925,1.872925,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OK-G1,Joy Hofmeister,Kevin Stitt,4,Expert ratings adjusted for national environment,-22.23244,0,0,1.750407,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OK-G1,Joy Hofmeister,Kevin Stitt,3,Fundamentals (non-polling factors),-24.23902,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OK-G1,Joy Hofmeister,Kevin Stitt,2,CANTOR (analysis of comparable disticts),-19.65629,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OK-G1,Joy Hofmeister,Kevin Stitt,1,Polls adjusted for house effects & other factors,-11.24694,2.07049,2.07049,2.07049,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OH-G1,Nan Whaley,Mike DeWine,4,Expert ratings adjusted for national environment,-19.23913,0,0,5.309604,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OH-G1,Nan Whaley,Mike DeWine,3,Fundamentals (non-polling factors),-15.83481,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OH-G1,Nan Whaley,Mike DeWine,2,CANTOR (analysis of comparable disticts),-11.02347,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,OH-G1,Nan Whaley,Mike DeWine,1,Polls adjusted for house effects & other factors,-13.93778,9.206596,9.206596,9.206596,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NY-G1,Kathy C. Hochul,Lee M. Zeldin,4,Expert ratings adjusted for national environment,22.90905,0,0,3.892781,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NY-G1,Kathy C. Hochul,Lee M. Zeldin,3,Fundamentals (non-polling factors),17.84881,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NY-G1,Kathy C. Hochul,Lee M. Zeldin,2,CANTOR (analysis of comparable disticts),7.617032,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NY-G1,Kathy C. Hochul,Lee M. Zeldin,1,Polls adjusted for house effects & other factors,14.49772,6.3659,6.3659,6.3659,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NV-G1,Steve Sisolak,Joe Lombardo,4,Expert ratings adjusted for national environment,1.609446,0,0,3.086807,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NV-G1,Steve Sisolak,Joe Lombardo,3,Fundamentals (non-polling factors),13.17545,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NV-G1,Steve Sisolak,Joe Lombardo,2,CANTOR (analysis of comparable disticts),10.1083,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NV-G1,Steve Sisolak,Joe Lombardo,1,Polls adjusted for house effects & other factors,1.353104,4.74994,4.74994,4.74994,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NM-G1,Michelle Lujan Grisham,Mark V. Ronchetti,4,Expert ratings adjusted for national environment,6.867104,0,0,2.585798,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NM-G1,Michelle Lujan Grisham,Mark V. Ronchetti,3,Fundamentals (non-polling factors),10.99724,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NM-G1,Michelle Lujan Grisham,Mark V. Ronchetti,2,CANTOR (analysis of comparable disticts),13.70239,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NM-G1,Michelle Lujan Grisham,Mark V. Ronchetti,1,Polls adjusted for house effects & other factors,7.146221,3.745429,3.745429,3.745429,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NH-G1,Tom Sherman,Chris Sununu,4,Expert ratings adjusted for national environment,-19.47849,0,0,2.652379,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NH-G1,Tom Sherman,Chris Sununu,3,Fundamentals (non-polling factors),-.0541503,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NH-G1,Tom Sherman,Chris Sununu,2,CANTOR (analysis of comparable disticts),-7.958791,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NH-G1,Tom Sherman,Chris Sununu,1,Polls adjusted for house effects & other factors,-17.80147,3.878923,3.878923,3.878923,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NE-G1,Carol Blood,Jim Pillen,4,Expert ratings adjusted for national environment,-22.63433,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NE-G1,Carol Blood,Jim Pillen,3,Fundamentals (non-polling factors),-21.71125,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Governor,9/23/22,NE-G1,Carol Blood,Jim Pillen,2,CANTOR (analysis of comparable disticts),-7.600727,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
