cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,House,9/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,4,Expert ratings adjusted for national environment,-43.42545,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,3,Fundamentals (non-polling factors),-44.75646,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,2,CANTOR (analysis of comparable disticts),-34.29415,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,4,Expert ratings adjusted for national environment,-28.10161,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,3,Fundamentals (non-polling factors),-27.66047,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,2,CANTOR (analysis of comparable disticts),-30.56429,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-1,Lacy Watson,Carol Miller,4,Expert ratings adjusted for national environment,-40.28949,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-1,Lacy Watson,Carol Miller,3,Fundamentals (non-polling factors),-41.70743,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-1,Lacy Watson,Carol Miller,2,CANTOR (analysis of comparable disticts),-30.37705,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WV-1,Lacy Watson,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-8,All others,Mike Gallagher,4,Expert ratings adjusted for national environment,-59.03638,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-8,All others,Mike Gallagher,3,Fundamentals (non-polling factors),-59.03638,1.439034,1.439034,1.439034,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-8,All others,Mike Gallagher,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-8,All others,Mike Gallagher,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,4,Expert ratings adjusted for national environment,-30.05099,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,3,Fundamentals (non-polling factors),-30.91987,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,2,CANTOR (analysis of comparable disticts),-23.01098,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-6,(unopposed),Glenn Grothman,4,Expert ratings adjusted for national environment,17.90734,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-6,(unopposed),Glenn Grothman,3,Fundamentals (non-polling factors),-100,1.439034,1.439034,1.439034,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-6,(unopposed),Glenn Grothman,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-6,(unopposed),Glenn Grothman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-5,Mike Van Someren,Scott Fitzgerald,4,Expert ratings adjusted for national environment,-30.70684,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-5,Mike Van Someren,Scott Fitzgerald,3,Fundamentals (non-polling factors),-31.1205,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-5,Mike Van Someren,Scott Fitzgerald,2,CANTOR (analysis of comparable disticts),-27.75668,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-5,Mike Van Someren,Scott Fitzgerald,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-4,Gwen Moore,Tim Rogers,4,Expert ratings adjusted for national environment,46.64328,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-4,Gwen Moore,Tim Rogers,3,Fundamentals (non-polling factors),46.3778,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,House,9/23/22,WI-4,Gwen Moore,Tim Rogers,2,CANTOR (analysis of comparable disticts),46.85939,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
