cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,simulations,timestamp
2022,Senate,_lite,9/23/22,.7945,.2055,52.17643,47.82355,52,48,56,52,48,44,7.54e+07,8.24e+07,6.84e+07,3.969742,9.750069,-1.854282,40000,15:23:21 23 Sep 2022
2022,Senate,_lite,9/22/22,.79065,.20935,52.0866,47.9134,52,48,56,52,48,44,7.54e+07,8.23e+07,6.83e+07,3.80711,9.65213,-2.057219,40000,21:10:49 22 Sep 2022
2022,Senate,_lite,9/21/22,.796525,.203475,52.12545,47.87455,52,48,56,52,48,44,7.54e+07,8.24e+07,6.85e+07,3.736961,9.578724,-2.083988,40000,21:10:54 21 Sep 2022
2022,Senate,_lite,9/20/22,.803125,.196875,52.20355,47.79645,52,48,56,52,48,44,7.53e+07,8.22e+07,6.82e+07,3.8932,9.781301,-1.925081,40000,20:13:53 20 Sep 2022
2022,Senate,_lite,9/19/22,.81105,.18895,52.29633,47.70367,53,47,56,52,48,44,7.53e+07,8.23e+07,6.82e+07,3.884842,9.762104,-2.025494,40000,21:41:21 19 Sep 2022
2022,Senate,_lite,9/18/22,.810475,.189525,52.31977,47.68023,53,47,56,52,48,44,7.53e+07,8.23e+07,6.82e+07,4.192314,9.998699,-1.751028,40000,20:13:36 18 Sep 2022
2022,Senate,_lite,9/17/22,.81635,.18365,52.34217,47.65783,53,47,56,52,48,44,7.53e+07,8.22e+07,6.82e+07,4.120903,9.988745,-1.809814,40000,20:13:32 17 Sep 2022
2022,Senate,_lite,9/16/22,.814825,.185175,52.3329,47.6671,53,47,56,52,48,44,7.53e+07,8.22e+07,6.83e+07,4.115601,10.11557,-1.834934,40000,20:46:39 16 Sep 2022
2022,Senate,_lite,9/15/22,.8088,.1912,52.2588,47.7412,52,48,56,52,48,44,7.53e+07,8.23e+07,6.83e+07,4.148766,10.08038,-1.744421,40000,20:12:49 15 Sep 2022
2022,Senate,_lite,9/14/22,.82015,.17985,52.4253,47.5747,53,47,56,52,48,44,7.53e+07,8.22e+07,6.82e+07,4.209843,10.22812,-1.686878,40000,20:50:01 14 Sep 2022
2022,Senate,_lite,9/13/22,.815475,.184525,52.3097,47.6903,53,47,56,52,48,44,7.53e+07,8.24e+07,6.83e+07,4.231152,10.14333,-1.792181,40000,21:16:09 13 Sep 2022
2022,Senate,_lite,9/12/22,.80075,.19925,52.28928,47.71072,53,47,56,52,48,44,7.53e+07,8.23e+07,6.82e+07,3.672657,9.638742,-2.382341,40000,21:19:39 12 Sep 2022
2022,Senate,_lite,9/11/22,.803225,.196775,52.30347,47.69653,53,47,56,52,48,44,7.53e+07,8.24e+07,6.83e+07,3.679802,9.643478,-2.288361,40000,20:12:14 11 Sep 2022
2022,Senate,_lite,9/10/22,.80315,.19685,52.29498,47.70502,53,47,56,52,48,44,7.53e+07,8.23e+07,6.83e+07,3.67165,9.663456,-2.363039,40000,20:11:55 10 Sep 2022
2022,Senate,_lite,9/9/22,.802525,.197475,52.2832,47.7168,52,48,56,52,48,44,7.53e+07,8.23e+07,6.83e+07,3.662617,9.668556,-2.341957,40000,20:12:16  9 Sep 2022
2022,Senate,_lite,9/8/22,.818775,.181225,52.46012,47.53988,53,47,56,52,48,44,7.53e+07,8.23e+07,6.83e+07,3.730137,9.780012,-2.342077,40000,20:11:52  8 Sep 2022
2022,Senate,_lite,9/7/22,.818725,.181275,52.3575,47.6425,53,47,56,52,48,44,7.53e+07,8.23e+07,6.82e+07,3.746937,9.76119,-2.209665,40000,20:11:39  7 Sep 2022
2022,Senate,_lite,9/6/22,.81995,.18005,52.32523,47.67477,53,47,56,52,48,44,7.52e+07,8.24e+07,6.83e+07,3.730381,9.817778,-2.350225,40000,20:34:12  6 Sep 2022
2022,Senate,_lite,9/5/22,.81375,.18625,52.24417,47.75583,52,48,56,52,48,44,7.52e+07,8.22e+07,6.82e+07,3.659519,9.662251,-2.402449,40000,20:12:34  5 Sep 2022
