cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,Senate,9/23/22,WI-S3,Mandela Barnes,Ron Johnson,4,Expert ratings adjusted for national environment,-3.486527,0,0,4.194636,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WI-S3,Mandela Barnes,Ron Johnson,3,Fundamentals (non-polling factors),-.5379438,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WI-S3,Mandela Barnes,Ron Johnson,2,CANTOR (analysis of comparable disticts),-4.802315,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WI-S3,Mandela Barnes,Ron Johnson,1,Polls adjusted for house effects & other factors,.8667793,6.971112,6.971112,6.971112,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WA-S3,Patty Murray,Tiffany Smiley,4,Expert ratings adjusted for national environment,19.92964,0,0,2.387362,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WA-S3,Patty Murray,Tiffany Smiley,3,Fundamentals (non-polling factors),19.12139,0,1.342794,1.342794,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WA-S3,Patty Murray,Tiffany Smiley,2,CANTOR (analysis of comparable disticts),14.77405,0,.0962403,.0962403,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,WA-S3,Patty Murray,Tiffany Smiley,1,Polls adjusted for house effects & other factors,10.35131,3.347571,3.347571,3.347571,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,VT-S3,Peter Welch,Gerald Malloy,4,Expert ratings adjusted for national environment,22.81609,0,0,1.447164,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,VT-S3,Peter Welch,Gerald Malloy,3,Fundamentals (non-polling factors),30.26336,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,VT-S3,Peter Welch,Gerald Malloy,2,CANTOR (analysis of comparable disticts),15.59929,.5375038,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,VT-S3,Peter Welch,Gerald Malloy,1,Polls adjusted for house effects & other factors,10.79203,1.462496,1.462496,1.462496,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,UT-S3,Evan McMullin,Mike Lee,4,Expert ratings adjusted for national environment,-11.86769,0,0,2.65644,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,UT-S3,Evan McMullin,Mike Lee,3,Fundamentals (non-polling factors),-25.12592,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,UT-S3,Evan McMullin,Mike Lee,2,CANTOR (analysis of comparable disticts),-19.07894,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,UT-S3,Evan McMullin,Mike Lee,1,Polls adjusted for house effects & other factors,-7.201027,3.887066,3.887066,3.887066,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SD-S3,Brian L. Bengs,John R. Thune,4,Expert ratings adjusted for national environment,-34.49311,0,0,.9673752,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SD-S3,Brian L. Bengs,John R. Thune,3,Fundamentals (non-polling factors),-37.88456,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SD-S3,Brian L. Bengs,John R. Thune,2,CANTOR (analysis of comparable disticts),-19.61087,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SD-S3,Brian L. Bengs,John R. Thune,1,Polls adjusted for house effects & other factors,-30.99484,.5005299,.5005299,.5005299,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SC-S3,Krystle Matthews,Tim Scott,4,Expert ratings adjusted for national environment,-23.28879,0,0,1.295473,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SC-S3,Krystle Matthews,Tim Scott,3,Fundamentals (non-polling factors),-23.39605,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SC-S3,Krystle Matthews,Tim Scott,2,CANTOR (analysis of comparable disticts),-12.77689,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,SC-S3,Krystle Matthews,Tim Scott,1,Polls adjusted for house effects & other factors,-21.06789,1.158359,1.158359,1.158359,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,PA-S3,John Fetterman,Mehmet Oz,4,Expert ratings adjusted for national environment,4.689523,0,0,4.990138,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,PA-S3,John Fetterman,Mehmet Oz,3,Fundamentals (non-polling factors),3.314934,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,PA-S3,John Fetterman,Mehmet Oz,2,CANTOR (analysis of comparable disticts),1.480273,0,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,PA-S3,John Fetterman,Mehmet Oz,1,Polls adjusted for house effects & other factors,8.638252,8.566074,8.566074,8.566074,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,4,Expert ratings adjusted for national environment,22.97588,0,0,.7177314,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,3,Fundamentals (non-polling factors),19.81833,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,2,CANTOR (analysis of comparable disticts),22.81951,.8358126,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,1,Polls adjusted for house effects & other factors,,0,0,0,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OK-S3,Madison Horn,James Lankford,4,Expert ratings adjusted for national environment,-30.70236,0,0,1.56673,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OK-S3,Madison Horn,James Lankford,3,Fundamentals (non-polling factors),-40.5103,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OK-S3,Madison Horn,James Lankford,2,CANTOR (analysis of comparable disticts),-22.58495,.297778,.1545999,.1545999,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OK-S3,Madison Horn,James Lankford,1,Polls adjusted for house effects & other factors,-24.13497,1.702222,1.702222,1.702222,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OK-S2,Kendra Horn,Markwayne Mullin,4,Expert ratings adjusted for national environment,-25.0174,0,0,1.56673,40000,15:23:21 23 Sep 2022
2022,Senate,9/23/22,OK-S2,Kendra Horn,Markwayne Mullin,3,Fundamentals (non-polling factors),-28.28736,0,1.284435,1.284435,40000,15:23:21 23 Sep 2022
